Average Accuracy,36.79
Sentence Index,Original Sentence,Estimated Sentence,Accuracy (%)
17,I knelt on the grass and kissed the earth and with quivering lips exclaimed By the sacred earth on which I kneel by the shades that wander near me by the deep and eternal grief that I feel I swear and by thee O Night and the spirits that preside over thee to pursue the daemon who caused this misery until he or I shall perish in mortal conflict,I know on the grounds and kind the early and with quickness little except By the same each on which I know by the she there was never mean by the defence and etc greater that I felt I sweetness and by the O Nicholls and they spoke the prospect over them to purchase the dance who campful three miles uneasiness her or I should persisted in most concerned,44.927536231884055
18,For this purpose I will preserve my life to execute this dear revenge will I again behold the sun and tread the green herbage of earth which otherwise should vanish from my eyes forever,For the purport I will present my life to express their delightful replied with I again between the survivor and trusting the gratified herself of UNK other she value from my eyes folly,35.294117647058826
19,And I call on you spirits of the dead and on you wandering ministers of vengeance to aid and conduct me in my work,And I can on your speak of the departed and on your way mixture of very to air and consequently me in my word,54.166666666666664
20,Let the cursed and hellish monster drink deep of agony let him feel the despair that now torments me I had begun my adjuration with solemnity and an awe which almost assured me that the shades of my murdered friends heard and approved my devotion but the furies possessed me as I concluded and rage choked my utterance,Let that curiosity and her mother draughts design of a UNK let his feelings their death them no to me I have been my advice with society and an awkward which UNK merely that the shock of my must from her an apology my dear but this full poor me as I could and rank charm my uttered,24.137931034482758
21,I was answered through the stillness of night by a loud and fiendish laugh,I water angry though the style of night by a lost and finer larger,50.0
22,It rang on my ears long and heavily the mountains reechoed it and I felt as if all hell surrounded me with mockery and laughter,I t rank on my UNK a lofty and hear the most resolute ecstasy it and I feel UNK all he surprised meeting with most animated language,0.0
23,Surely in that moment I should have been possessed by frenzy and have destroyed my miserable existence but that my vow was heard and that I was reserved for vengeance,Such in that morrow I should have been politely by from and has deserved my might expression but though my voice was her and then I was really for vexation,53.333333333333336
24,The laughter died away when a wellknown and abhorred voice apparently close to my ear addressed me in an audible whisper I am satisfied miserable wretch,The latter died away when a were known and above voice appeared close to my easy admiration me in an aunt which I am said mile wrong,19.230769230769234
25,You have determined to live and I am satisfied I darted towards the spot from which the sound proceeded but the devil eluded my grasp,You have deserved to live and I am said I dare to the speech from which though soon proposals but this deficiency elegance my ground,52.0
26,Suddenly the broad disk of the moon arose and shone full upon his ghastly and distorted shape as he fled with more than mortal speed,Such their brother dislike of the moment arise and she further up him UNK UNK any did she asked her flattering with more than most sport,12.0
27,I pursued him and for many months this has been my task,I put him anxiety for many more they has been my taste,58.333333333333336
28,Guided by a slight clue I followed the windings of the Rhone but vainly,UNK by a slight cleared I for the wife of the UNK but vain,57.14285714285714
29,The blue Mediterranean appeared and by a strange chance I saw the fiend enter by night and hide himself in a vessel bound for the Black Sea,The blushed Meryton appeared and by a still character I said the first engrossed by night and his his in a very both for the Blame Sensibility,51.85185185185185
30,I took my passage in the same ship but he escaped I know not how,I told my part in the said she but he especially I know not how,66.66666666666666
31,Amidst the wilds of Tartary and Russia although he still evaded me I have ever followed in his track,Among the wish of Take and Rushworth always he still ever me I had ever forgave in his trepidation,52.63157894736842
32,Sometimes the peasants scared by this horrid apparition informed me of his path sometimes he himself who feared that if I lost all trace of him I should despair and die left some mark to guide me,Some then perceive scene by the house appeared in me of his patroness soon heard him who felt themselves if I long all treatment of himself I shall denial and dirty lest soon married to guard me,35.13513513513514
33,The snows descended on my head and I saw the print of his huge step on the white plain,They sneering depend on my heart and I said that progress of his humour s t on the which pleasure,31.57894736842105
34,To you first entering on life to whom care is new and agony unknown how can you understand what I have felt and still feel,To you first entering on listening to which can is next and again under how can yourself uneasy when I have felt and still fewer,60.0
35,Cold want and fatigue were the least pains which I was destined to endure I was cursed by some devil and carried about with me my eternal hell yet still a spirit of good followed and directed my steps and when I most murmured would suddenly extricate me from seemingly insurmountable difficulties,Collins was and family were they letter part which I was delightful to enable I was curious by so delicacy and caprice about with me UNK the UNK years stay UNK of good for and did my struggles and when I most much would such excuse me from sense in dispelling,25.0
36,Sometimes when nature overcome by hunger sank under the exhaustion a repast was prepared for me in the desert that restored and inspirited me,So who nature overheard by humour said understood the explanation a reader was prevented for me in the delightful this received an invitation meeting,37.5
37,The fare was indeed coarse such as the peasants of the country ate but I will not doubt that it was set there by the spirits that I had invoked to aid me,The families walk in conversation such as they perverseness of the concerned at but I will not do the it was settled them by the spoke that I had in to air me,54.54545454545454
38,Often when all was dry the heavens cloudless and I was parched by thirst a slight cloud would bedim the sky shed the few drops that revived me and vanish,Of what all was drew that he clergyman and I was passed by the a slept clever would be the skill shared the felt drew that reports meant and vain,40.0
39,I followed when I could the courses of the rivers but the daemon generally avoided these as it was here that the population of the country chiefly collected,I fortune which I consider the convenience of the river but this day gentleman avoid though as it was her thought the pounds of the coach charming connected,42.857142857142854
40,In other places human beings were seldom seen and I generally subsisted on the wild animals that crossed my path,I UNK other pleasure human being well settled sensible and I gentle supercilious on the winter and the critical my partner,0.0
41,I had money with me and gained the friendship of the villagers by distributing it or I brought with me some food that I had killed which after taking a small part I always presented to those who had provided me with fire and utensils for cooking,I have modesty with me and gave the front of the visit by did it or I brought with me soon followed that I have kind which affair talking a small pass I all pretensions to the who have preferred me with five and utmost for courtesy,55.319148936170215
42,My life as it passed thus was indeed hateful to me and it was during sleep alone that I could taste joy,My little as it passed the was in having to mend and it was during slight all that I condescended talk journey,54.54545454545454
43,O blessed sleep,O blushed sleep,66.66666666666666
44,Often when most miserable I sank to repose and my dreams lulled me even to rapture,Of what more mind I said to relate and my drew lucky me even to rascality,43.75
45,The spirits that guarded me had provided these moments or rather hours of happiness that I might retain strength to fulfil my pilgrimage,The spoke the guilt me have prevented the moment or rather hours of happen that I might real step too further my picture,43.47826086956522
46,Deprived of this respite I should have sunk under my hardships,Denny of the reverie I should have supposed uneasy my hand,45.45454545454545
47,During the day I was sustained and inspirited by the hope of night for in sleep I saw my friends my wife and my beloved country again I saw the benevolent countenance of my father heard the silver tones of my Elizabeths voice and beheld Clerval enjoying health and youth,During the day I was such an intelligent by the honour of night for in slight I said my friend my without and my behalf cousin again I said that bewitching converse of my father herself their sideboard to of my Elizabeth s volume and be Clarke engaging herself and you,46.0
48,Often when wearied by a toilsome march I persuaded myself that I was dreaming until night should come and that I should then enjoy reality in the arms of my dearest friends,Of what were by a to make I persuaded myself that I was drew understood night she condescension and therefore I should think entered rejoiced in the archbishops of my dearest friend,53.125
49,What agonizing fondness did I feel for them,What ago for dishonesty I feared for them,50.0
50,How did I cling to their dear forms as sometimes they haunted even my waking hours and persuade myself that they still lived,How did I clerk to the delightful for as something they had ever my was home and perhaps my that though strong little,39.130434782608695
51,At such moments vengeance that burned within me died in my heart and I pursued my path towards the destruction of the daemon more as a task enjoined by heaven as the mechanical impulse of some power of which I was unconscious than as the ardent desire of my soul,At such more very the business with me difference in my heart and I puzzle my partner to the defects of the day money as a talked engrossed by her as they met impropriety of some portion of whom I was under them as they are delicacy of my so,48.0
52,What his feelings were whom I pursued I cannot know,What his feelings weeks when I put I can know,60.0
53,Sometimes indeed he left marks in writing on the barks of the trees or cut in stone that guided me and instigated my fury,Some instead her letter manner in writing on the back of the transactions or curiosity in still their guidance meant an in my fun,37.5
54,My reign is not yet overthese words were legible in one of these inscriptionsyou live and my power is complete,My resignation is not yet over the world were less in one of them instant your likewise and my power is countenance,20.0
55,Follow me I seek the everlasting ices of the north where you will feel the misery of cold and frost to which I am impassive,Forgive me I seemed that UNK UNK of that now when you will feeling the mistress of comprehension and from to which I am impatient,48.0
56,You will find near this place if you follow not too tardily a dead hare eat and be refreshed,You UNK never the place if you UNK to talk a deeply had each and be ready,5.263157894736842
57,Come on my enemy we have yet to wrestle for our lives but many hard and miserable hours must you endure until that period shall arrive Scoffing devil,Collins on my engagements we have yet to write for out like but make haste and minutely how much you end under this perturbed she are Scotch determine,35.714285714285715
58,Again do I vow vengeance again do I devote thee miserable fiend to torture and death,Again do I voice very agreeably do I detest that might first to town any delay,37.5
59,Never will I give up my search until he or I perish and then with what ecstasy shall I join my Elizabeth and my departed friends who even now prepare for me the reward of my tedious toil and horrible pilgrimage,Neither with I give up my seeing unwelcome her or I personages and then with whom ecstasy she I joined myself Elizabeth and my dear friend whence even now propose for me the reach of my temper to another how picture,51.21951219512195
60,As I still pursued my journey to the northward the snows thickened and the cold increased in a degree almost too severe to support,As I still put my joined to their not the sneering thought and the country in in a descent allowed to see to suffer,45.83333333333333
61,The peasants were shut up in their hovels and only a few of the most hardy ventured forth to seize the animals whom starvation had forced from their hidingplaces to seek for prey,The perhaps we shall up in the house and on a few of the morning has very forced to see them and where story UNK from the his pleased to send for proved,33.33333333333333
62,The rivers were covered with ice and no fish could be procured and thus I was cut off from my chief article of maintenance,The rich were concerned with UNK and no find complexion became pretty and then I was curious of from my children arrival of making,45.83333333333333
63,The triumph of my enemy increased with the difficulty of my labours,The trouble of my encroaching interview with the dictates of my late,58.333333333333336
64,One inscription that he left was in these words Prepare,On in that her letter was in the world Prejudice,30.0
65,Your toils only begin wrap yourself in furs and provide food for we shall soon enter upon a journey where your sufferings will satisfy my everlasting hatred My courage and perseverance were invigorated by these scoffing words I resolved not to fail in my purpose and calling on heaven to support me I continued with unabated fervour to traverse immense deserts until the ocean appeared at a distance and formed the utmost boundary of the horizon,Your too on being written you in further and prepare for for we shall soon enough UNK UNK a joy when you succeed without saying my evenings have My courage and perhaps were interrupted by the scarcity would I resolved not to fall in my put and called on her to such me I cousin wish unite feared to treat immediately deliberated undervaluing the occasion UNK a disconcerted and for the utmost both of the house,17.105263157894736
66,Oh,Oh,100.0
67,How unlike it was to the blue seasons of the south,How understood it was to the blessing sense of that son,54.54545454545454
68,Covered with ice it was only to be distinguished from land by its superior wildness and ruggedness,Collins with UNK it was only to be dishonest from law by its success without any ruthless,52.94117647058824
69,The Greeks wept for joy when they beheld the Mediterranean from the hills of Asia and hailed with rapture the boundary of their toils,They Gracechurch were for join when that began the Meryton from the hint of As and hardly without rather the bottom of the total,37.5
70,I did not weep but I knelt down and with a full heart thanked my guiding spirit for conducting me in safety to the place where I hoped notwithstanding my adversarys gibe to meet and grapple with him,I did not well but I knew done and with a further hear than my guard speak for consider me in saying to the pleasures which I hope not my advice UNK to me and grateful with him,52.63157894736842
71,Some weeks before this period I had procured a sledge and dogs and thus traversed the snows with inconceivable speed,So were beauties the perception I have promise a slight and done and then trees that sneering with involving spleen,25.0
72,I know not whether the fiend possessed the same advantages but I found that as before I had daily lost ground in the pursuit I now gained on him so much so that when I first saw the ocean he was but one days journey in advance and I hoped to intercept him before he should reach the beach,I know not where the first points the same added but I found the assembly before I had UNK a long great in the public I noisy garden on his so much sooner that when I first say this occasional he was but one day s journey in advantages and I hope to invite him because her she remembered the better,20.33898305084746
73,With new courage therefore I pressed on and in two days arrived at a wretched hamlet on the seashore,Wickham never come though I promised one an in two dances are at a write had on the second,36.84210526315789
74,I inquired of the inhabitants concerning the fiend and gained accurate information,I intelligence of though in comparing the first and gave accepted influence,33.33333333333333
75,A gigantic monster they said had arrived the night before armed with a gun and many pistols putting to flight the inhabitants of a solitary cottage through fear of his terrific appearance,Again UNK more than same had arisen the niece be are with a guarded and made piece punishment to flirt the inconveniences UNK some condescend the felicity of his t UNK appeared,21.875
76,He had carried off their store of winter food and placing it in a sledge to draw which he had seized on a numerous drove of trained dogs he had harnessed them and the same night to the joy of the horrorstruck villagers had pursued his journey across the sea in a direction that led to no land and they conjectured that he must speedily be destroyed by the breaking of the ice or frozen by the eternal frosts,He had called of the stream of window for any place it in a slight to dress what he had seen one UNK drove of tried does he has had them and therefore same UNK UNK to the joined of the house standing visit had put his joining accept the seems in a different they left to not laughing and the concern that he must spend been deprived by the breadth of the UNK UNK frightened by their etc from,17.72151898734177
77,On hearing this information I suffered a temporary access of despair,On he this interference I suppose a t UNK of definition,45.45454545454545
78,He had escaped me and I must commence a destructive and almost endless journey across the mountainous ices of the ocean amidst cold that few of the inhabitants could long endure and which I the native of a genial and sunny climate could not hope to survive,He had established me and I must conversation a declined and almost entirely joined accept the most UNK of the occur amiable convinced the feelings of though in comparison long enough and when I think nature of a gentleman and such closed could not hope to suffer,48.93617021276596
79,Yet at the idea that the fiend should live and be triumphant my rage and vengeance returned and like a mighty tide overwhelmed every other feeling,Yes at the idea that the fish she likewise and before true my rank and very refreshing and like a mind UNK every other feeling,42.30769230769231
80,After a slight repose during which the spirits of the dead hovered round and instigated me to toil and revenge I prepared for my journey,After a slight replied during when they spoke of that determined however room and insulting me to town any repetition I propose for my journey,48.0
81,I exchanged my landsledge for one fashioned for the inequalities of the frozen ocean and purchasing a plentiful stock of provisions I departed from land,I expected my ladies slight for only fact for the influence of the from occasion and put a place state of present I dear from law,8.0
82,I cannot guess how many days have passed since then but I have endured misery which nothing but the eternal sentiment of a just retribution burning within my heart could have enabled me to support,I cannot guess how may daughter half UNK thus but I have entirely mistaken which nothing but the etc sensible off a just resolved but without my hearty could have entirely me to suffer,11.428571428571429
83,Immense and rugged mountains of ice often barred up my passage and I often heard the thunder of the ground sea which threatened my destruction,I m and ruthless most UNK UNK o UNK ball up my partner and I of hearing than those of the great sentence when though my dear,0.0
84,But again the frost came and made the paths of the sea secure,But against this friendly caution and making that pavement of the second settled,30.76923076923077
85,By the quantity of provision which I had consumed I should guess that I had passed three weeks in this journey and the continual protraction of hope returning back upon the heart often wrung bitter drops of despondency and grief from my eyes,By the quarter of preference which I have cool I should guess though I have passed that were in their journey and the country privilege of honour return back up the her of writing birth drove of decorum and grateful from my eyes,51.162790697674424
86,Despair had indeed almost secured her prey and I should soon have sunk beneath this misery,Denny had in all seated her produced and I shall soon had subsisting be three miles,31.25
87,Once after the poor animals that conveyed me had with incredible toil gained the summit of a sloping ice mountain and one sinking under his fatigue died I viewed the expanse before me with anguish when suddenly my eye caught a dark speck upon the dusky plain,On after this pounds and the country met have will introduced to gave the subject of a s lifetime UNK more and one side understand his favour did I view than expectation before met with and where succeeding my eyes can UNK spent up the duty pleasures,10.638297872340425
88,I strained my sight to discover what it could be and uttered a wild cry of ecstasy when I distinguished a sledge and the distorted proportions of a wellknown form within,I still my sister to dinner whether it could be and UNK with credit of echo which I did a slight and they dining praise of a well known for with,22.58064516129032
89,Oh,Oh,100.0
90,With what a burning gush did hope revisit my heart,Wickham UNK but guard discourse hopes relations my heart,0.0
91,Warm tears filled my eyes which I hastily wiped away that they might not intercept the view I had of the daemon but still my sight was dimmed by the burning drops until giving way to the emotions that oppressed me I wept aloud,Was ten fine my eyes when I have wished away that they might nor invite the visit I have of the day but still my silence was distressed by them but driving undoubtedly girls way to the employ the opposite me I were alive,47.72727272727273
92,But this was not the time for delay I disencumbered the dogs of their dead companion gave them a plentiful portion of food and after an hours rest which was absolutely necessary and yet which was bitterly irksome to me I continued my route,But there was not their time for decided I did the door of their dependent concerns gave UNK pleasure power of folly and after and hour s report which was absolutely necessary and yet what was bitterly irritation to mention I confess myself room,45.45454545454545
93,The sledge was still visible nor did I again lose sight of it except at the moments when for a short time some icerock concealed it with its intervening crags,The slight was UNK not disagreeably I again long sign of its excessively at that moment which for a short time s UNK cried o consider it will it in cross,6.666666666666667
94,I indeed perceptibly gained on it and when after nearly two days journey I beheld my enemy at no more than a mile distant my heart bounded within me,I in perfectly garden on it and when affair necessary two dance journey I believe my engagement at no more than a mistress dissemble my heart borne with me,58.620689655172406
95,But now when I appeared almost within grasp of my foe my hopes were suddenly extinguished and I lost all trace of him more utterly than I had ever done before,But now when I appearance all with great of my for my how were such exact and I long all treatment of his m o utter that I have ever done before,38.70967741935484
96,A ground sea was heard the thunder of its progress as the waters rolled and swelled beneath me became every moment more ominous and terrific,A great sensibility was he thought that of its promise as they walked room and sweetness before me be even more more omit and temper,36.0
97,I pressed on but in vain,I prevailed on business in vain,66.66666666666666
98,The wind arose the sea roared and as with the mighty shock of an earthquake it split and cracked with a tremendous and overwhelming sound,The will are thus seats room and as with the might share off an earl it spirits and cross with a true and over some,44.0
99,The work was soon finished in a few minutes a tumultuous sea rolled between me and my enemy and I was left drifting on a scattered piece of ice that was continually lessening and thus preparing for me a hideous death,The would was so fit in a few minutes UNK s UNK room before me and my engagement and I was less drove on a scarcely piece of UNK the was could less any the present for me a his depart,48.78048780487805
100,In this manner many appalling hours passed several of my dogs died and I myself was about to sink under the accumulation of distress when I saw your vessel riding at anchor and holding forth to me hopes of succour and life,In the masterly may appeal how passed secondly of my does dislike and I my was able to sing under the account of dignity which I say you very rich at and and how fond to me hope of such and liked,42.857142857142854
101,I had no conception that vessels ever came so far north and was astounded at the sight,I have not complete the very ever called UNK no answer was astonishment at the sight,11.76470588235294
102,I quickly destroyed part of my sledge to construct oars and by these means was enabled with infinite fatigue to move my ice raft in the direction of your ship,I quite derives part of my slowly to cold oaks and by that means was entirely without involving fact to morrow my UNK cried a into the discovery of you should,36.666666666666664
103,I had determined if you were going southwards still to trust myself to the mercy of the seas rather than abandon my purpose,I have detached if you were gone so still to trust myself to the meaning of those secrets rather t UNK absolute my public,52.17391304347826
104,I hoped to induce you to grant me a boat with which I could pursue my enemy,I hope to introduce you to great me a borne with which I come put my engagement,58.82352941176471
105,But your direction was northwards,But you dinner was not,40.0
106,You took me on board when my vigour was exhausted and I should soon have sunk under my multiplied hardships into a death which I still dread for my task is unfulfilled,You to me one book why my views was extreme and I shall soon hackneyed supposed uneasy my must have in a defect what I still drove for my take is unaccountable,43.75
107,Oh,Oh,100.0
108,When will my guiding spirit in conducting me to the daemon allow me the rest I so much desire or must I die and he yet live,What will my guard speak in company mean to the daughter all me the replied I so much deference or much I discretion and herself years little,48.148148148148145
109,If I do swear to me Walton that he shall not escape that you will seek him and satisfy my vengeance in his death,If I do sweet to me Watson that he should not escape that you will seated him and said my very in his descent,70.83333333333334
110,And do I dare to ask of you to undertake my pilgrimage to endure the hardships that I have undergone,And do I dancing to ashamed of you to understand my pictured to enjoy the hand that I have understood,65.0
111,No I am not so selfish,No I am not so settled,83.33333333333334
112,Yet when I am dead if he should appear if the ministers of vengeance should conduct him to you swear that he shall not liveswear that he shall not triumph over my accumulated woes and survive to add to the list of his dark crimes,Yes who I am delighted if he she appeared if the mind of vexation she could him to your sweet that he should not little sweet that he should not treat over my acquaintance woman and such to add to the living of his daughters cried,26.666666666666668
113,He is eloquent and persuasive and once his words had even power over my heart but trust him not,He is else and perhaps and on him wonderfully hardly even pointedly over my herself but triumph his now,42.10526315789473
114,His soul is as hellish as his form full of treachery and fiendlike malice,His so is as UNK his for full of travelling and finished like magic,21.428571428571427
115,Hear him not call on the names of William Justine Clerval Elizabeth my father and of the wretched Victor and thrust your sword into his heart,He himself no can on the nature of Wickham June Clarke Elizabeth my family any of the writer Vingt and that you sweetness in his head,34.61538461538461
116,I will hover near and direct the steel aright,I will hopes never and disgracing the stranger are,44.44444444444444
117,Walton in continuation,Was in comparison,33.33333333333333
118,August 26th 17 You have read this strange and terrific story Margaret and do you not feel your blood congeal with horror like that which even now curdles mine,Austen 263 175 You have reached them steps and teased started Mary and do you not feel you blame compared with how little the whole even not curiosity miss,34.48275862068966
119,Sometimes seized with sudden agony he could not continue his tale at others his voice broken yet piercing uttered with difficulty the words so replete with anguish,So seat with such against he could not conceal his take a to the UNK voice brought yet UNK UNK uttered with disbelieving these words some replete with anybody,18.51851851851852
120,His fine and lovely eyes were now lighted up with indignation now subdued to downcast sorrow and quenched in infinite wretchedness,His figure and loudly eyes were not lift up without in no such to do so and quit indecision injured wrong,33.33333333333333
121,Sometimes he commanded his countenance and tones and related the most horrible incidents with a tranquil voice suppressing every mark of agitation then like a volcano bursting forth his face would suddenly change to an expression of the wildest rage as he shrieked out imprecations on his persecutor,Some he conversation his commendable and to any recollections the morning hours intrusion with a triumphant voice suppress every majority of against the little a voice but for his father woman such choose to an exposition of the windows rather as her she our importance on his perusal,37.5
122,His tale is connected and told with an appearance of the simplest truth yet I own to you that the letters of Felix and Safie which he showed me and the apparition of the monster seen from our ship brought to me a greater conviction of the truth of his narrative than his asseverations however earnest and connected,His talked is common and too with an apprehension of their sister true yet I own to you think the length of February and Saturday when he should meet and that appearance of the morning sentiments from out shall brother to mention a great consequence of the treatment of his UNK a than himself a s house early and connections,43.103448275862064
123,Such a monster has then really existence,Such a more had thought returned exhibition,28.57142857142857
124,I cannot doubt it yet I am lost in surprise and admiration,I cannot do it yet I am love in such an admire,58.333333333333336
125,Sometimes I endeavoured to gain from Frankenstein the particulars of his creatures formation but on this point he was impenetrable,Some I endeavour to gallantry from From that part of his creatress s for but on this point he was impossible,25.0
126,Are you mad my friend said he,Are you man my friend said he,85.71428571428571
127,Or whither does your senseless curiosity lead you,UNK what do you seek curiosity less you,25.0
128,Would you also create for yourself and the world a demoniacal enemy,Women you all crossing for young and the world a degree enough,50.0
129,Peace peace,Perhaps persons,0.0
130,Learn my miseries and do not seek to increase your own Frankenstein discovered that I made notes concerning his history he asked to see them and then himself corrected and augmented them in many places but principally in giving the life and spirit to the conversations he held with his enemy,Let my mind and does not seem to introduce your own From different that I may not consider his him he as to see three and that his complexion and aunt this in made place but proud in give the likewise and speaking to the comparative her her with his endeavours,45.09803921568628
131,Since you have preserved my narration said he I would not that a mutilated one should go down to posterity Thus has a week passed away while I have listened to the strangest tale that ever imagination formed,Sir you had prided my name said her I would not UNK much on she go down to point They have a were passed away when I have little to the staircase take that evening immediately followed,15.789473684210526
132,My thoughts and every feeling of my soul have been drunk up by the interest for my guest which this tale and his own elevated and gentle manners have created,My thought and every female of my so had been dressed up by the inhabitants for my guard when the table and his own eldest and gentlemanlike man had credit,50.0
133,I wish to soothe him yet can I counsel one so infinitely miserable so destitute of every hope of consolation to live,I wished to some his years came I could only so in mind so degree of every hope of contrived to listen,45.45454545454545
134,Oh no,Oh nonsensical,50.0
135,The only joy that he can now know will be when he composes his shattered spirit to peace and death,The one joined that he came not known will believing where he concluded him she spoke to person and dependence,35.0
136,Yet he enjoys one comfort the offspring of solitude and delirium he believes that when in dreams he holds converse with his friends and derives from that communion consolation for his miseries or excitements to his vengeance that they are not the creations of his fancy but the beings themselves who visit him from the regions of a remote world,Yes her endured only could the offer of society and desired her because those whether in drew he hoped cordially with his friend and denominated from the coming company for his mind or expressed to him very that they are nothing the credit of his fair but the be the whole visit him from the recollection of a removed wonder,45.0
137,This faith gives a solemnity to his reveries that render them to me almost as imposing and interesting as truth,The farewell girl a something to his replied that reproach themselves to me all UNK and in a s tranquillity,30.0
138,Our conversations are not always confined to his own history and misfortunes,Our complain are not always compassion to his own hill and minute,66.66666666666666
139,On every point of general literature he displays unbounded knowledge and a quick and piercing apprehension,On every power of gentlemen liked he did uncle knighthood and a questions and pitied approbation,43.75
140,His eloquence is forcible and touching nor can I hear him when he relates a pathetic incident or endeavours to move the passions of pity or love without tears,His elaborate is fortune and to not calling I her him whether he returned a particularly UNK r endeavour to more than part of picture or long with temper,34.48275862068966
141,What a glorious creature must he have been in the days of his prosperity when he is thus noble and godlike in ruin,What a glance cried must he had been in the days of his professions which he is there now and got introduced run,56.52173913043478
142,He seems to feel his own worth and the greatness of his fall,He seems to fear his own words and the grandeur of his favourable,69.23076923076923
143,When younger said he I believed myself destined for some great enterprise,When you said he I believe my dear for so great enough,50.0
144,My feelings are profound but I possessed a coolness of judgment that fitted me for illustrious achievements,My feelings are pretty but I point a couple of just the first me for ill acquaintance,52.94117647058824
145,This sentiment of the worth of my nature supported me when others would have been oppressed for I deemed it criminal to throw away in useless grief those talents that might be useful to my fellow creatures,The sense of the wonders of my nail surprised me which others would have been opportunities for I detest it credit to the away in us group the table that might be used to my fellow creatures,59.45945945945946
146,When I reflected on the work I had completed no less a one than the creation of a sensitive and rational animal I could not rank myself with the herd of common projectors,When I received on these world I have could not UNK on the the credit of a sense and rank and I could not rattle myself with that health of course practice,12.121212121212121
147,But this thought which supported me in the commencement of my career now serves only to plunge me lower in the dust,But though the when sudden meeting in the companion of my can not seen only to please me long into their duty,36.36363636363637
148,All my speculations and hopes are as nothing and like the archangel who aspired to omnipotence I am chained in an eternal hell,All my spirits and hour are as not and likely there are who as t o omitted I am character into a neighbourhood t her,30.434782608695656
149,My imagination was vivid yet my powers of analysis and application were intense by the union of these qualities I conceived the idea and executed the creation of a man,My immediately was visit years my possibility of an answer appearances were interrupted by the understanding of the question I confess the idea and exceedingly the credit of a man,53.333333333333336
150,Even now I cannot recollect without passion my reveries while the work was incomplete,Even now I can regard with pay my respects while the world was indisposed,50.0
151,I trod heaven in my thoughts now exulting in my powers now burning with the idea of their effects,I trust heard in my that no excellence in my poor nothing but with the idea of the effect,47.368421052631575
152,From my infancy I was imbued with high hopes and a lofty ambition but how am I sunk,From my infancy I was immediately without his house and a longer amends but how am I suffer,61.111111111111114
153,Oh,Oh,100.0
154,My friend if you had known me as I once was you would not recognize me in this state of degradation,My friend if you have known me as I only want you would not receive me in the study of delight,66.66666666666666
155,Despondency rarely visited my heart a high destiny seemed to bear me on until I fell never never again to rise Must I then lose this admirable being,Denny rather violation my heart a his desperate seems to be meditating on understanding I felt never never agreeable to right Much I the love there address better,35.714285714285715
156,I have longed for a friend I have sought one who would sympathize with and love me,I had looked for a from I have solitude on what would syllable window and looked me,47.05882352941176
