Average Accuracy,41.50
Sentence Index,Original Sentence,Estimated Sentence,Accuracy (%)
20,Let the cursed and hellish monster drink deep of agony let him feel the despair that now torments me I had begun my adjuration with solemnity and an awe which almost assured me that the shades of my murdered friends heard and approved my devotion but the furies possessed me as I concluded and rage choked my utterance,Let the curiosity and her mother dreadful delight of age led his feelings the deposition that nothing towards me I have been my adversary with softness and an away which all asked me that the shores of my murdered from hearted and apt my destination but the future possessed me as I constructed and rank chair my utter,50.0
21,I was answered through the stillness of night by a loud and fiendish laugh,I walked and then the streets of night by a loaf and first laboratory,50.0
22,It rang on my ears long and heavily the mountains reechoed it and I felt as if all hell surrounded me with mockery and laughter,I UNK rang on my ears love and heard the months UNK UNK ecstasy it and I feel as if although her supplied me with more and labour,0.0
23,Surely in that moment I should have been possessed by frenzy and have destroyed my miserable existence but that my vow was heard and that I was reserved for vengeance,Such in the morning I should have been possessed by friends and have destroyed my mind extreme but that my voice was herbage and that I was relaxed for ventures,66.66666666666666
24,The laughter died away when a wellknown and abhorred voice apparently close to my ear addressed me in an audible whisper I am satisfied miserable wretch,This lady died away who a well known and abhorred voice appear close to my ears addressed me in an autumn when I am safe miserable wretchedness,11.538461538461538
25,You have determined to live and I am satisfied I darted towards the spot from which the sound proceeded but the devil eluded my grasp,You have destroyed to life and I am safe I dared to the spot from which the sole pretension but the devil elevated my grave,64.0
26,Suddenly the broad disk of the moon arose and shone full upon his ghastly and distorted shape as he fled with more than mortal speed,Such the brought diffident of the most ardent and she future up his ghastly and dim she UNK fled with more the more speak,28.000000000000004
27,I pursued him and for many months this has been my task,I put him and for many more than had been my tale,58.333333333333336
28,Guided by a slight clue I followed the windings of the Rhone but vainly,UNK by a slow cloak I for the windows of the Rhine but valley,50.0
29,The blue Mediterranean appeared and by a strange chance I saw the fiend enter by night and hide himself in a vessel bound for the Black Sea,The blood Mexico apart animated by a stranger child I saw the fire enthusiasm by night and hide himself in a vessel bound for the Blanc Servox,62.96296296296296
30,I took my passage in the same ship but he escaped I know not how,I took my party in the same should but he escape I knew not hope,66.66666666666666
31,Amidst the wilds of Tartary and Russia although he still evaded me I have ever followed in his track,Among the windows of Table and Russian although he still every me I had ever found in his tread,57.89473684210527
32,Sometimes the peasants scared by this horrid apparition informed me of his path sometimes he himself who feared that if I lost all trace of him I should despair and die left some mark to guide me,Sometimes the period scene by the house appeared in me of his parents some her history when feel that if I loved all tranquillity of him I should deep and discrimination leave so many to guiltless me,45.94594594594595
33,The snows descended on my head and I saw the print of his huge step on the white plain,The snow depended on my heart and I saw the prospect of his UNK on the whole plains,47.368421052631575
34,To you first entering on life to whom care is new and agony unknown how can you understand what I have felt and still feel,To your fine engagement on live to who can is new and again unnatural how can you undeceive what I had felt and studied feelings,52.0
35,Cold want and fatigue were the least pains which I was destined to endure I was cursed by some devil and carried about with me my eternal hell yet still a spirit of good followed and directed my steps and when I most murmured would suddenly extricate me from seemingly insurmountable difficulties,Company water and family were the letter passed while I was destined to endure I was curse by some despairing and cast about with met my UNK UNK still UNK of good forth and distinguish my stones and when I momentarily much would suffered exists me from sensations in disgust,30.76923076923077
36,Sometimes when nature overcome by hunger sank under the exhaustion a repast was prepared for me in the desert that restored and inspirited me,Something whispers name overcome by human sank until the exhibited a reading was prey for me in the despair that rest and in me,54.166666666666664
37,The fare was indeed coarse such as the peasants of the country ate but I will not doubt that it was set there by the spirits that I had invoked to aid me,The father was in considerable such as the peace of the collections at but I will not doubt that it was serviceable that by the spirit that I had invulnerable to aid me,69.6969696969697
38,Often when all was dry the heavens cloudless and I was parched by thirst a slight cloud would bedim the sky shed the few drops that revived me and vanish,Of what all was dreams than he clouded and I was pained by this a sleep clear would be the sky shunned these feelings dried that regions me and vain,43.333333333333336
39,I followed when I could the courses of the rivers but the daemon generally avoided these as it was here that the population of the country chiefly collected,I found where I could the consequences of the river but the day gentle avert them as it was here that the powers of the cottage chiefly come,60.71428571428571
40,In other places human beings were seldom seen and I generally subsisted on the wild animals that crossed my path,I n other place human being we seated senseless and I gentle surrounded on the wild and that crimes my path,0.0
41,I had money with me and gained the friendship of the villagers by distributing it or I brought with me some food that I had killed which after taking a small part I always presented to those who had provided me with fire and utensils for cooking,I had money with me and gained the fringed of this village by different it or I brought with me sometimes found that I had kind which affection tale a small pale I also previous to those who have previously me with firmness and uttered for conviction,63.829787234042556
42,My life as it passed thus was indeed hateful to me and it was during sleep alone that I could taste joy,My life as it pacing that was in haste to me and it was during sleep all that I could take journey,68.18181818181817
43,O blessed sleep,O black sleep,66.66666666666666
44,Often when most miserable I sank to repose and my dreams lulled me even to rapture,Of what more might I sank to read and my dreams lulled me even to rapture,68.75
45,The spirits that guarded me had provided these moments or rather hours of happiness that I might retain strength to fulfil my pilgrimage,Thus spirit that guardian me had pronounced the mountain or rather horror of happiness that I might reasonably steps to fulfil my picturesque,56.52173913043478
46,Deprived of this respite I should have sunk under my hardships,Destiny of this rejoiced I shall have supposed until my hands,45.45454545454545
47,During the day I was sustained and inspirited by the hope of night for in sleep I saw my friends my wife and my beloved country again I saw the benevolent countenance of my father heard the silver tones of my Elizabeths voice and beheld Clerval enjoying health and youth,During the day I was surprised and interspersed by those horror of night for in slaughter I said my frame my wishes and my beloved committed again I saw the be convicted of my father heard the silent to of my Elizabeth s voice and believe Clerval engaged heart and you,56.00000000000001
48,Often when wearied by a toilsome march I persuaded myself that I was dreaming until night should come and that I should then enjoy reality in the arms of my dearest friends,Of what were by a to make I persuaded myself thoughts I was dry until night shrivelled complexion and then I shunned then endured recognized in the arbiters of my dear friend,50.0
49,What agonizing fondness did I feel for them,What a UNK for did I feel for themselves,12.5
50,How did I cling to their dear forms as sometimes they haunted even my waking hours and persuade myself that they still lived,How did I clung to the deck for as sounds that had ever my was hope and persuade myself that the storm light,43.47826086956522
51,At such moments vengeance that burned within me died in my heart and I pursued my path towards the destruction of the daemon more as a task enjoined by heaven as the mechanical impulse of some power of which I was unconscious than as the ardent desire of my soul,At surprised more very them burned with me died in my heart and I pursued my path to the delicacy of the dark more as a taken ensure by her assured the melancholy improvement of some powers of where I was understood them aspirations they are demanded of my soul,56.00000000000001
52,What his feelings were whom I pursued I cannot know,When his features were while I pursued I can knowledge,50.0
53,Sometimes indeed he left marks in writing on the barks of the trees or cut in stone that guided me and instigated my fury,Sometimes in her led manner in written on the banks of the truth or cultivation in strewed the guest me and in my future,45.83333333333333
54,My reign is not yet overthese words were legible in one of these inscriptionsyou live and my power is complete,My revenge is not yet over the women were left injury one of the injuries your life and my power is contented,20.0
55,Follow me I seek the everlasting ices of the north where you will feel the misery of cold and frost to which I am impassive,Forgive me I see the UNK UNK of the noblest which you will feeling the minutiae of comfort and friendship to which I am imagination,56.00000000000001
56,You will find near this place if you follow not too tardily a dead hare eat and be refreshed,You UNK UNK near the planks if UNK o no to take a desire had earth and benevolent realized,26.31578947368421
57,Come on my enemy we have yet to wrestle for our lives but many hard and miserable hours must you endure until that period shall arrive Scoffing devil,Come on my enterprise were had yet to write for our light but many happy and misery how much you enemies under thing period she are Scotland defence,42.857142857142854
58,Again do I vow vengeance again do I devote thee miserable fiend to torture and death,Agatha do I voice very again do I demand their miserable UNK torment and delight,37.5
59,Never will I give up my search until he or I perish and then with what ecstasy shall I join my Elizabeth and my departed friends who even now prepare for me the reward of my tedious toil and horrible pilgrimage,Never with I girl upon my senses until her or I perceived and that wilds which ecstasy should I joined my Elizabeth and my dear friend which even now provided for me the relics of my temper toil another horrible picturesque,53.65853658536586
60,As I still pursued my journey to the northward the snows thickened and the cold increased in a degree almost too severe to support,As I stood putting my journey towards the nor the snow that anguish the cottage in in a destroy allowed to see to sustain,41.66666666666667
61,The peasants were shut up in their hovels and only a few of the most hardy ventured forth to seize the animals whom starvation had forced from their hidingplaces to seek for prey,The perfectly were shut up in the house and one a feelings of the monster had vengeance for to seize the and when stimulated UNK UNK from the him plan to senses for proceed,39.39393939393939
62,The rivers were covered with ice and no fish could be procured and thus I was cut off from my chief article of maintenance,The river were complied with ice and no fit could be procured and that I was cut off from my children arbiters of man,70.83333333333334
63,The triumph of my enemy increased with the difficulty of my labours,This trait of my enemy interview with the diffidence of my laboratory,58.333333333333336
64,One inscription that he left was in these words Prepare,One in the heavens letter was in the worst Prometheus,30.0
65,Your toils only begin wrap yourself in furs and provide food for we shall soon enter upon a journey where your sufferings will satisfy my everlasting hatred My courage and perseverance were invigorated by these scoffing words I resolved not to fail in my purpose and calling on heaven to support me I continued with unabated fervour to traverse immense deserts until the ocean appeared at a distance and formed the utmost boundary of the horizon,You to one before wretched your in furs and procure food for we shall so enchanting UNK UNK a journey whom you surprise will saluted my every had My courage and perceiving were incommoded by the scene words I resolved not to father in my put and called on her to sustain me I could with unreservedly feelings to trace imaginations delayed until this occasion a UNK a UNK a distance and for the uttered both of the house,9.210526315789473
66,Oh,Oh,100.0
67,How unlike it was to the blue seasons of the south,How until it way towards the blessed sentiments of these south,45.45454545454545
68,Covered with ice it was only to be distinguished from land by its superior wildness and ruggedness,Company with ice it was only to be distinguished from labour by its success with and ruin,70.58823529411765
69,The Greeks wept for joy when they beheld the Mediterranean from the hills of Asia and hailed with rapture the boundary of their toils,The Greek were for joy where they be that Mexico from the history of As and happiness with rage the body of the tomb,45.83333333333333
70,I did not weep but I knelt down and with a full heart thanked my guiding spirit for conducting me in safety to the place where I hoped notwithstanding my adversarys gibe to meet and grapple with him,I did not were but I know domestic and with a fury her that my guest spirit for could me in sank towards the place which I hoped nothing my adversary s gift to me and ground with him,47.368421052631575
71,Some weeks before this period I had procured a sledge and dogs and thus traversed the snows with inconceivable speed,Sometimes were before the perhaps I have UNK sledge and domestic and the trees the snow with increased sport,10.0
72,I know not whether the fiend possessed the same advantages but I found that as before I had daily lost ground in the pursuit I now gained on him so much so that when I first saw the ocean he was but one days journey in advance and I hoped to intercept him before he should reach the beach,I knew not where the fiend poor the same advanced but I forget that as before I had day looks greatly in the put I now gazed on his so much sometimes that when I first saw the occupied he was but one day s joy in advantage and I hope tools in his bed he should related the bestowed,50.847457627118644
73,With new courage therefore I pressed on and in two days arrived at a wretched hamlet on the seashore,Will never concerning that I prison only and in two days arrived a UNK a wretched have on the separation,31.57894736842105
74,I inquired of the inhabitants concerning the fiend and gained accurate information,I instead of the information confirmed the fiend and gained account indulgence,58.333333333333336
75,A gigantic monster they said had arrived the night before armed with a gun and many pistols putting to flight the inhabitants of a solitary cottage through fear of his terrific appearance,A gives more than same had around the night before are with a guide and magnificent piece pursuit to fly the incapable UNK so coasting the feelings of his teeth appear,31.25
76,He had carried off their store of winter food and placing it in a sledge to draw which he had seized on a numerous drove of trained dogs he had harnessed them and the same night to the joy of the horrorstruck villagers had pursued his journey across the sea in a direction that led to no land and they conjectured that he must speedily be destroyed by the breaking of the ice or frozen by the eternal frosts,He had capable of the study of with fortitude and pleasant its into a sledge to draw which he has seem only a nurse dream of truth does he had handkerchief that and the same night to the journal of the house strange virtuous had pursued his joy account the sea in a distant the led to no laugh and the cottage that he muttered speedily be deferred by the branches of the ice or from by the eternal frame,27.848101265822784
77,On hearing this information I suffered a temporary access of despair,On hearing the in I succeed a UNK of delight,36.36363636363637
78,He had escaped me and I must commence a destructive and almost endless journey across the mountainous ices of the ocean amidst cold that few of the inhabitants could long endure and which I the native of a genial and sunny climate could not hope to survive,He had especially me and I must continue a delight and almost enjoy joy account the most ice of this occurrence amiable confided the feelings of the information could love end and when I the name of a gentleman and suffering clear could not hope to support,51.06382978723404
79,Yet at the idea that the fiend should live and be triumphant my rage and vengeance returned and like a mighty tide overwhelmed every other feeling,Yet at the idea than the fiend should like and beauty traversing my rage and very rest and like a mighty UNK UNK UNK other feelings,61.53846153846154
80,After a slight repose during which the spirits of the dead hovered round and instigated me to toil and revenge I prepared for my journey,UNK sleep read during when the space of the desire house rose and in me to torment and reward I promised for my journey,0.0
81,I exchanged my landsledge for one fashioned for the inequalities of the frozen ocean and purchasing a plentiful stock of provisions I departed from land,I expressed my labours slow for one far for the inclemency of the friends occupations and put a plaited stars of pride I depart from labour,8.0
82,I cannot guess how many days have passed since then but I have endured misery which nothing but the eternal sentiment of a just retribution burning within my heart could have enabled me to support,I cannot guide how may day had UNK that but I had endured misery which none but the eternal sensations of a just returned but with my heart could had endowed me to sustain,8.571428571428571
83,Immense and rugged mountains of ice often barred up my passage and I often heard the thunder of the ground sea which threatened my destruction,I UNK a n rushed more of UNK UNK of back upon my path and I often heard than threat of the ground sea which those my destiny,0.0
84,But again the frost came and made the paths of the sea secure,But against the from came and made the part of the setting sensations,61.53846153846154
85,By the quantity of provision which I had consumed I should guess that I had passed three weeks in this journey and the continual protraction of hope returning back upon the heart often wrung bitter drops of despondency and grief from my eyes,By the quantity of pride which I had complaints I shall guilty that I had passed that were insufficient their joy and the cottage proof of horror remained back upon the head of writers bitterly drop of deep and groans from my eyes,53.48837209302325
86,Despair had indeed almost secured her prey and I should soon have sunk beneath this misery,Dear had indeed always self her procured and I should soon had surrounded beheld this misfortune,50.0
87,Once after the poor animals that conveyed me had with incredible toil gained the summit of a sloping ice mountain and one sinking under his fatigue died I viewed the expanse before me with anguish when suddenly my eye caught a dark speck upon the dusky plain,One after the poets and that consoles me hated winter induced to gain the submission of a s UNK mountains and one side under his father did I visited the exquisite before me with and who surrounded my eyes care admiration a spent upon the dust places,40.42553191489361
88,I strained my sight to discover what it could be and uttered a wild cry of ecstasy when I distinguished a sledge and the distorted proportions of a wellknown form within,I stood my side to dissipate what its continually bestow animation uttered a with creature of ecstasy which I discovered a slight and the different presence of a well known for within,45.16129032258064
89,Oh,Oh,100.0
90,With what a burning gush did hope revisit my heart,With UNK but guilty discovered how related my health,10.0
91,Warm tears filled my eyes which I hastily wiped away that they might not intercept the view I had of the daemon but still my sight was dimmed by the burning drops until giving way to the emotions that oppressed me I wept aloud,Waldman terms fixed my eyes which I had with away thought the might not in the visage I have of that day but struck my sister was disturbed by the but drew until girl way torture the embers the oppressed me I wept also,50.0
92,But this was not the time for delay I disencumbered the dogs of their dead companion gave them a plentiful portion of food and after an hours rest which was absolutely necessary and yet which was bitterly irksome to me I continued my route,But this was not think time for despair I discovered the door of the demoniacal contributed gain the a pleasant pool of forgetfulness and affection and hour s regions which was about new and yet which was bitterly irksome to me I conceal my room,27.27272727272727
93,The sledge was still visible nor did I again lose sight of it except at the moments when for a short time some icerock concealed it with its intervening crags,The sleep was UNK not distinct I again lost sight of its excess at the mountains which found a short time s o ice UNK o consider it with its in cruelty,6.666666666666667
94,I indeed perceptibly gained on it and when after nearly two days journey I beheld my enemy at no more than a mile distant my heart bounded within me,I inquired peace gazed on it and which affection nearly two days joy I before my engagement at no more than a might did my heart bounding with me,58.620689655172406
95,But now when I appeared almost within grasp of my foe my hopes were suddenly extinguished and I lost all trace of him more utterly than I had ever done before,But noon when I approached alone with groundwork of my fortune my however were suffered extreme and I loved all tranquillity of his UNK o utter that I had ever do before,35.483870967741936
96,A ground sea was heard the thunder of its progress as the waters rolled and swelled beneath me became every moment more ominous and terrific,A gradually season was heard that that of its present as that was rose and sweet befallen me before even more more omnipotent and terror,40.0
97,I pressed on but in vain,I profited only but in vain,66.66666666666666
98,The wind arose the sea roared and as with the mighty shock of an earthquake it split and cracked with a tremendous and overwhelming sound,The winter ardour they sea room and assistance with the minutest shadow of an eagle it spirits and creature with a tremulous and overwhelming soul,52.0
99,The work was soon finished in a few minutes a tumultuous sea rolled between me and my enemy and I was left drifting on a scattered piece of ice that was continually lessening and thus preparing for me a hideous death,The world was so fire in a few minutes at UNK sea rose before me and my engagement and I was left dressed only a science pile of ice that was coming learn and the productions for me a his demand,56.09756097560976
100,In this manner many appalling hours passed several of my dogs died and I myself was about to sink under the accumulation of distress when I saw your vessel riding at anchor and holding forth to me hopes of succour and life,In that made man appeared UNK UNK sensation of my door distance and I my walked able to sinking under the actions of district when I saw you very rise at answers and how forth to me hours of summer and liberty,45.23809523809524
101,I had no conception that vessels ever came so far north and was astounded at the sight,I had no conceive the very every UNK of a north and was as at the situation,47.05882352941176
102,I quickly destroyed part of my sledge to construct oars and by these means was enabled with infinite fatigue to move my ice raft in the direction of your ship,I quickly deeper parts of my slavery to converse oar and by the means was endued with innumerable facile to mock my ice rather in the dictate of your shepherd,56.666666666666664
103,I had determined if you were going southwards still to trust myself to the mercy of the seas rather than abandon my purpose,I had desired if you were going so strangely to trust myself to the means of the sea rapidly UNK UNK absent my pursuit,56.52173913043478
104,I hoped to induce you to grant me a boat with which I could pursue my enemy,I hoped to inform you to grant me a boat with which I could pursue my enterprise,88.23529411764706
105,But your direction was northwards,But you disaster was northeast,40.0
106,You took me on board when my vigour was exhausted and I should soon have sunk under my multiplied hardships into a death which I still dread for my task is unfulfilled,You to me on board when my view was extinguished and I should soon had sunk until my must had in a decline when I still dream for my tale is unspeakable,59.375
107,Oh,Oh,100.0
108,When will my guiding spirit in conducting me to the daemon allow me the rest I so much desire or must I die and he yet live,What within my guilty spent in contempt me to the day allow me this rejoiced I so much depravity or murdered I discovered and her yet live,55.55555555555556
109,If I do swear to me Walton that he shall not escape that you will seek him and satisfy my vengeance in his death,If I do swallowed to me Walton that he should not especially that you will see him and satisfied my vessel in his deeply,70.83333333333334
110,And do I dare to ask of you to undertake my pilgrimage to endure the hardships that I have undergone,And do I dared to ask of you to until my pity to enthusiasm that hands that I had unchained,60.0
111,No I am not so selfish,Now I am not so seldom,66.66666666666666
112,Yet when I am dead if he should appear if the ministers of vengeance should conduct him to you swear that he shall not liveswear that he shall not triumph over my accumulated woes and survive to add to the list of his dark crimes,Yet why I am deliverer if he should appear if the midst of very she convey himself towards your sweeter that he should not like sweet that he should no triumphed over my accustomed wonderful and sufficient to add to the light of his daughter crime,28.888888888888886
113,He is eloquent and persuasive and once his words had even power over my heart but trust him not,He UNK UNK and performs and on his words have ever power over my head but treating his nothing,47.368421052631575
114,His soul is as hellish as his form full of treachery and fiendlike malice,His solitary is as he as his for full of truly and first little matter,57.14285714285714
115,Hear him not call on the names of William Justine Clerval Elizabeth my father and of the wretched Victor and thrust your sword into his heart,He him not can on the names of William Justine Clerval Elizabeth my father and of these wretched Victor and the youth swells in his heart,73.07692307692307
116,I will hover near and direct the steel aright,I will horror necessary and discerning the streets are,44.44444444444444
117,Walton in continuation,Waldman in come,33.33333333333333
118,August 26th 17 You have read this strange and terrific story Margaret and do you not feel your blood congeal with horror like that which even now curdles mine,August UNK 17 You had retrod the stranger and tears streets Mannheim and do you not fear you blessed communication with how like those while every now cursed misery,37.93103448275862
119,Sometimes seized with sudden agony he could not continue his tale at others his voice broken yet piercing uttered with difficulty the words so replete with anguish,Sometimes see with such agreeable he could not convey his UNK to UNK UNK UNK break yet pig utter with discover the wondrous some reason with anguish,40.74074074074074
120,His fine and lovely eyes were now lighted up with indignation now subdued to downcast sorrow and quenched in infinite wretchedness,His figure and lovely eyes were not like up will instant none sufficient to do soften and quickly innumerable in wretchedness,42.857142857142854
121,Sometimes he commanded his countenance and tones and related the most horrible incidents with a tranquil voice suppressing every mark of agitation then like a volcano bursting forth his face would suddenly change to an expression of the wildest rage as he shrieked out imprecations on his persecutor,Sometimes he consummate his constant answer took and remembered the most however in with a troubled voice such every many of agitation the like a voice but followed his family would such chained to an expression of them wind rage as he showed out impressed on his peak,54.166666666666664
122,His tale is connected and told with an appearance of the simplest truth yet I own to you that the letters of Felix and Safie which he showed me and the apparition of the monster seen from our ship brought to me a greater conviction of the truth of his narrative than his asseverations however earnest and connected,His tale is contention and to with an appearance of the sister tremendous yet I owed to you that the lessons of Felix and Safie when he should meaning and the appearances of the monster several from our ship brought to me a greater consummation of the tranquillity of his nature this him a s house each and coldness,63.793103448275865
123,Such a monster has then really existence,Such a more had the really extinguished,42.857142857142854
124,I cannot doubt it yet I am lost in surprise and admiration,I cannot do it yet I am loved in such and admiration,75.0
125,Sometimes I endeavoured to gain from Frankenstein the particulars of his creatures formation but on this point he was impenetrable,Sometimes I endeavoured to gain from From the pangs of his crimes s forever but on the point he walking impressed,45.0
126,Are you mad my friend said he,Are you may my friend said he,85.71428571428571
127,Or whither does your senseless curiosity lead you,Or why do you see curse let you,25.0
128,Would you also create for yourself and the world a demoniacal enemy,Wordsworth you also crept for you and the world a depraved engaged,58.333333333333336
129,Peace peace,Petersburgh peace,50.0
130,Learn my miseries and do not seek to increase your own Frankenstein discovered that I made notes concerning his history he asked to see them and then himself corrected and augmented them in many places but principally in giving the life and spirit to the conversations he held with his enemy,Let my mind and do not see to inform your own Frankenstein difficulty that I may no cold himself his head asylum to see the anger that his constant and authors them into mathematics pleasures but presently in given the listen and spared to the cottage her her with his entered,43.13725490196079
131,Since you have preserved my narration said he I would not that a mutilated one should go down to posterity Thus has a week passed away while I have listened to the strangest tale that ever imagination formed,Since you have promised my narrative said he I would not UNK UNK a murdered on she good do to poison They have a week passed away whom I had listened to the study tale the evil impatiently forever,23.684210526315788
132,My thoughts and every feeling of my soul have been drunk up by the interest for my guest which this tale and his own elevated and gentle manners have created,My thoughts and every feeling of my soul had been dreadfully upon by the insurance for my guest when those task and his UNK UNK and gentle manners happy created,66.66666666666666
133,I wish to soothe him yet can I counsel one so infinitely miserable so destitute of every hope of consolation to live,I wished to some his yet caused I could only something in might some degree of every hour of conduct to light,36.36363636363637
134,Oh no,Oh not,50.0
135,The only joy that he can now know will be when he composes his shattered spirit to peace and death,The only joy than he can not know will before which he could his she spoke to peace and delight,60.0
136,Yet he enjoys one comfort the offspring of solitude and delirium he believes that when in dreams he holds converse with his friends and derives from that communion consolation for his miseries or excitements to his vengeance that they are not the creations of his fancy but the beings themselves who visit him from the regions of a remote world,Yet he entered only corner that of of sorrow and desert he bestowed the whole in draught her however contrast with him from and delight from the cottage could for his miserable or exertions towards his very that threat are not the creation of his family but they be this which village him from the reality of a recorded wood,41.66666666666667
137,This faith gives a solemnity to his reveries that render them to me almost as imposing and interesting as truth,The father girl a so to his real the related that took me UNK UNK and in as true,20.0
138,Our conversations are not always confined to his own history and misfortunes,Our could are no alone contrived to his own his and misery,50.0
139,On every point of general literature he displays unbounded knowledge and a quick and piercing apprehension,One every possible of gentle life her disgusted until knowledge and a quick and picturesque approach,43.75
140,His eloquence is forcible and touching nor can I hear him when he relates a pathetic incident or endeavours to move the passions of pity or love without tears,His UNK UNK UNK s food and took nor can I her him when he read a passed in or enjoyment to move the party of pity or longed with tears,3.4482758620689653
141,What a glorious creature must he have been in the days of his prosperity when he is thus noble and godlike in ruin,What a globe cried murdered he had been in the danger of his property which he is that noble and godlike in ruin,65.21739130434783
142,He seems to feel his own worth and the greatness of his fall,He seemed to fear his own words and the gratitude of his family,61.53846153846154
143,When younger said he I believed myself destined for some great enterprise,When you said her I became my departure for some great enterprise,58.333333333333336
144,My feelings are profound but I possessed a coolness of judgment that fitted me for illustrious achievements,My feelings are promise but I possessed a courage of judge the fiend meal for ill accomplished,52.94117647058824
145,This sentiment of the worth of my nature supported me when others would have been oppressed for I deemed it criminal to throw away in useless grief those talents that might be useful to my fellow creatures,The season of the works of my nature supplied me when other would have been open for I demand it creator to those UNK n us grasp the take they might be useful to my fellow creatures,56.75675675675676
146,When I reflected on the work I had completed no less a one than the creation of a sensitive and rational animal I could not rank myself with the herd of common projectors,When I reflected on the would I have collected not UNK on that the creation of a servant and rashly and I could not raises myself with the heat of commerce proceed,18.181818181818183
147,But this thought which supported me in the commencement of my career now serves only to plunge me lower in the dust,But through that which surrounded me into the cottage of my can nor seized only to plunge me loose in the dungeons,54.54545454545454
148,All my speculations and hopes are as nothing and like the archangel who aspired to omnipotence I am chained in an eternal hell,All my spirits and hopes are as not and like the are when aspires to omitted I am checked instruments a neglected the UNK,52.17391304347826
149,My imagination was vivid yet my powers of analysis and application were intense by the union of these qualities I conceived the idea and executed the creation of a man,My imagination was visible yet my portion of an an appearance were incommoded by the uneasiness of the quiet I confess the UNK exchanged the creation of a madman,40.0
150,Even now I cannot recollect without passion my reveries while the work was incomplete,Even now I cannot remember will pass my reverence while the work was ineffectual,64.28571428571429
151,I trod heaven in my thoughts now exulting in my powers now burning with the idea of their effects,I trembled he invented my thoughts now exist in my power now budding with the idea of the effects,63.1578947368421
