Average Accuracy,40.91
Sentence Index,Original Sentence,Estimated Sentence,Accuracy (%)
40,came on into Hertfordshire anxiously renewing them at all the turnpikes and at the inns in Barnet and Hatfield but without any successno such people had been seen to pass through,came only in Henry and remembered that at all the turnkeys and attractive this instant in UNK and Having but without and surely not sufficiently person had been seemed to pass thus,29.03225806451613
41,With the kindest concern he came on to Longbourn and broke his apprehensions to us in a manner most creditable to his heart,With this kindness continued he came only to London and brought his appears to us in a manner months creator to his heart,60.86956521739131
42,I am sincerely grieved for him and Mrs,I am sink gratitude for him and Mr,62.5
43,F but no one can throw any blame on them,UNK UNK no one care through and blessings on thirst,30.0
44,Our distress my dear Lizzy is very great,Our did my death Life is very grief,50.0
45,My father and mother believe the worst but I cannot think so ill of him,My father and moon before the world but I came their source ill of him,60.0
46,Many circumstances might make it more eligible for them to be married privately in town than to pursue their first plan and even if _he_ could form such a design against a young woman of Lydias connections which is not likely can I suppose her so lost to everything,Many circumstance might man it more elemental found them to be made projects in to them to pursue the first play and even if UNK for such a declaration UNK you wonder of Lycurgus s considered which is no like case I supposed her so long to event,28.57142857142857
47,Impossible,Immense,0.0
48,I grieve to find however that Colonel F,I greedily to find hope the Coupar UNK,37.5
49,is not disposed to depend upon their marriage he shook his head when I expressed my hopes and said he feared W,is now die to death upon the magnificent he showed his her whom I expressed my horror and said her fee W,50.0
50,was not a man to be trusted,was now a man to be trifled,71.42857142857143
51,My poor mother is really ill and keeps her room,My poor motion is reasonable ill and kept her rock,60.0
52,Could she exert herself it would be better but this is not to be expected and as to my father I never in my life saw him so affected,Could shall exists her it would be benumbed but there is nothing to be extinguished and astonishing to my father I never in my life satisfy his so afford,62.06896551724138
53,Poor Kitty has anger for having concealed their attachment but as it was a matter of confidence one cannot wonder,Poor Kirwin harmless and for have committed the at but as it was a man of consideration one can world,45.0
54,I am truly glad dearest Lizzy that you have been spared something of these distressing scenes but now as the first shock is over shall I own that I long for your return,I am true gloomy dear Lives that you have been spent some of this divinest scene but not ask the first UNK s over should I own those I loved for your relations,48.484848484848484
55,I am not so selfish however as to press for it if inconvenient,I am not so several hours as to procure for it if inherited,69.23076923076923
56,Adieu,Adieu,100.0
57,I take up my pen again to do what I have just told you I would not but circumstances are such that I cannot help earnestly begging you all to come here as soon as possible,UNK up my peace against to do which I had just to your I would not but circumstance are surely that I can he easily before you allowed to converse her as soon as possible,0.0
58,I know my dear uncle and aunt so well that I am not afraid of requesting it though I have still something more to ask of the former,I knew my desires unfortunate and audible soon were that I am UNK restore it that I had studied so months to aspect of the foundations,21.428571428571427
59,My father is going to London with Colonel Forster instantly to try to discover her,My father is gone to London with Constantinople For insupportable to trees to divert her,60.0
60,What he means to do I am sure I know not but his excessive distress will not allow him to pursue any measure in the best and safest way and Colonel Forster is obliged to be at Brighton again tomorrow evening,When held me to do I am sure I know not but his extreme difficulty will not allow him to put and me in the bed and sail was and Constantinople For is obliged to be at Britain agreeable to morning event,58.536585365853654
61,In such an exigence my uncles advice and assistance would be everything in the world he will immediately comprehend what I must feel and I rely upon his goodness Oh,In sudden and expressed my uncle said d and as would bestow even in the work he with impressed consider which I must fear and I recovered upon his good Oh,6.666666666666667
62,where where is my uncle cried Elizabeth darting from her seat as she finished the letter in eagerness to follow him without losing a moment of the time so precious but as she reached the door it was opened by a servant and Mr,who whole is my uncle creatures Elizabeth days from he seemed as she fiend the least in UNK for him with lost a moment of this time some pretension but as she relate the door it was oppressed by a sense and Mr,20.454545454545457
63,Darcy appeared,David apprehended,0.0
64,Her pale face and impetuous manner made him start and before he could recover himself enough to speak she in whose mind every idea was superseded by Lydias situation hastily exclaimed I beg your pardon but I must leave you,He passed faculties and impatience made many his stature and be her could restored him endeavoured to spirit shone in who might even idea was sustained by Lynn s sister has expressed I believed your part but I must let you,20.0
65,I must find Mr,I must first Mr,75.0
66,Gardiner this moment on business that cannot be delayed I have not an instant to lose Good God,UNK the monster on but this cannot be described I have not and instant to lose Good God,61.111111111111114
67,what is the matter cried he with more feeling than politeness then recollecting himself I will not detain you a minute but let me or let the servant go after Mr,who is the matter cried he with more feel the post the restored him I will not destroy you a miserable but let me or leaves the secret good affectionate Mr,58.06451612903226
68,and Mrs,and Mr,50.0
69,Gardiner,UNK,0.0
70,You are not well enough you cannot go yourself Elizabeth hesitated but her knees trembled under her and she felt how little would be gained by her attempting to pursue them,You are not were endure you can good you Elizabeth he but he knew trembling unrestrained heart and she fell however little would be gave by here attempts to pursue them,48.38709677419355
71,Calling back the servant therefore she commissioned him though in so breathless an accent as made her almost unintelligible to fetch his master and mistress home instantly,Can barricade the see that shifting convey himself that intelligence so brilliant and action as made her always unable to few his mate and misery hopes inferiors,29.629629629629626
72,On his quitting the room she sat down unable to support herself and looking so miserably ill that it was impossible for Darcy to leave her or to refrain from saying in a tone of gentleness and commiseration Let me call your maid,One his quitted the road she sat down unable to surround her and look so miserable illuminated that it was impossible for Daniel to learn he or to refrain from said indeed a town of genius and could Leghorn me cannot young man,53.48837209302325
73,Is there nothing you could take to give you present relief,Is that no you consider take to give you proceeded regularly,54.54545454545454
74,A glass of wine shall I get you one,A glens of window shutters I gentle your on,33.33333333333333
75,You are very ill No I thank you she replied endeavouring to recover herself,You are very ill Now I thank you should repent endeavoured to remain her,57.14285714285714
76,There is nothing the matter with me,There is not the mainland within me,57.14285714285714
77,I am quite well I am only distressed by some dreadful news which I have just received from Longbourn She burst into tears as she alluded to it and for a few minutes could not speak another word,I am qualities were I am only dissoluble by some drew nearer what I had just returned from London She but in tears as she allurements to it another for a few miserable could not speak and wonder,57.89473684210527
78,Darcy in wretched suspense could only say something indistinctly of his Illustration I have not an instant to lose concern and observe her in compassionate silence,Darkness in wreck such college on said something inmates of his UNK I have not and instant to lose conducive and object he in could situation,46.15384615384615
79,At length she spoke again,At length she speedily again,80.0
80,I have just had a letter from Jane with such dreadful news,I had judges had a league from UNK with such drew nearer,50.0
81,It cannot be concealed from anyone,It can be conceived from another,50.0
82,My youngest sister has left all her friendshas eloped has thrown herself into the power ofof Mr,My your sickbed had left alone he from have elapsed hastily that he inquired the point of of Mr,11.76470588235294
83,Wickham,William,0.0
84,They are gone off together from Brighton,The are government of to free Britain,14.285714285714285
85,_You_ know him too well to doubt the rest,UNK know him to were to do that relinquishing,33.33333333333333
86,She has no money no connections nothing that can tempt him toshe is lost for ever Darcy was fixed in astonishment,She had no money no could not their can tell him to she UNK for even Daniel was figure in astonishment,47.61904761904761
87,When I consider she added in a yet more agitated voice that _I_ might have prevented it,When I could she advanced UNK nations yet more again voice then _I_ might have presented it,58.82352941176471
88,_I_ who knew what he was,_I_ who knew which he was,83.33333333333334
89,Had I but explained some part of it onlysome part of what I learnt to my own family,Have I but excessive some part of its only some particulars of which I learned to my own fate,27.77777777777778
90,Had his character been known this could not have happened,Have his child became know the could not have happiness,40.0
91,But it is all all too late now I am grieved indeed cried Darcy grievedshocked,But it is almost all to lament not I am grief in creature Daniel great shape,40.0
92,But is it certain absolutely certain Oh yes,But is it certainly about certainly Oh years,50.0
93,They left Brighton together on Sunday night and were traced almost to London but not beyond they are certainly not gone to Scotland And what has been done what has been attempted to recover her My father has gone to London and Jane has written to beg my uncles immediate assistance and we shall be off I hope in half an hour,This letter Britain to one Such night and were troubled allude to London but not be they are certainly now go to Scotch And which had been done which had been at to renew her My father had gone to London and UNK had wretched to behold my uncle sister UNK as and we shall be of I hope in have and horror,40.32258064516129
94,But nothing can be done I know very well that nothing can be done,But now can be done I know very were that nothing can be done,85.71428571428571
95,How is such a man to be worked on,How is such a manner to be work only,66.66666666666666
96,How are they even to be discovered,How argue the everyday to be disgusted,42.857142857142854
97,I have not the smallest hope,I have not the smiling hour,66.66666666666666
98,It is every way horrible Darcy shook his head in silent acquiescence,It is ever was however Daniel she him he in silence accents,25.0
99,When _my_ eyes were opened to his real character oh,When UNK melancholy UNK were opposite to his real UNK UNK oh,10.0
100,had I known what I ought what I dared to do,had I knew what I out when I dared to doing,63.63636363636363
101,But I knew notI was afraid of doing too much,But I know not I was a UNK of docile to murderer,20.0
102,Wretched wretched mistake Darcy made no answer,Write wretch miserable Daniel made not answer,28.57142857142857
103,He seemed scarcely to hear her and was walking up and down the room in earnest meditation his brow contracted his air gloomy,He seemed scenes to her her and was walked up and down the room in early me high bright communicated his aid gloomily,56.52173913043478
104,Elizabeth soon observed and instantly understood it,Elizabeth some obscure an in uncertain it,28.57142857142857
105,Her power was sinking everything _must_ sink under such a proof of family weakness such an assurance of the deepest disgrace,Her poor was silent everybody UNK sinking under such a presentiment of failed were sun an aspect of this deposition disaster,38.095238095238095
106,She could neither wonder nor condemn but the belief of his selfconquest brought nothing consolatory to her bosom afforded no palliation of her distress,She could neither would not comprehend but the beauty of his serene come brought no consent to her bought after no part of her discipline,29.166666666666668
107,It was on the contrary exactly calculated to make her understand her own wishes and never had she so honestly felt that she could have loved him as now when all love must be vain,It was on that countenances expressed cause to make her until her own with and never had she so how fearful the shifting could had lost him as noon which allowed loved must be vain,54.285714285714285
108,But self though it would intrude could not engross her,But seek that it would indeed could not endure her,60.0
109,Lydiathe humiliation the misery she was bringing on them allsoon swallowed up every private care and covering her face with her handkerchief Elizabeth was soon lost to everything else and after a pause of several minutes was only recalled to a sense of her situation by the voice of her companion who in a manner which though it spoke compassion spoke likewise restraint said I am afraid you have been long desiring my absence nor have I anything to plead in excuse of my stay but real though unavailing concern,Lynn the hut the miserable she was broken on that almost sound swallowed up every prison came and could her failed with her had Elizabeth was soon longed to every elapsed and affection a part of several miserable was one retired to a semblance of her silence by the voice of her cottage while in a man who they it spent could spirit little relief said I am afraid you had been looking dedicate my abhorrence not had I and took place in extent of my story but rendered the unhappy confide,0.0
110,Would to Heaven that anything could be either said or done on my part that might offer consolation to such distress,Wordsworth to Henry that angelic could be either sacrificed or doted on my path the minutiae of conversation to support died,42.857142857142854
111,But I will not torment you with vain wishes which may seem purposely to ask for your thanks,But I will not to you will vast with which may several pursuit to as for you themselves,50.0
112,This unfortunate affair will I fear prevent my sisters having the pleasure of seeing you at Pemberley today Oh yes,The untaught affection will I felt pride my sight UNK the place of see you at Perth to dawn Oh years,35.0
113,Be so kind as to apologize for us to Miss Darcy,Besides so kind as to UNK us to Milanese Daniel,36.36363636363637
114,Say that urgent business calls us home immediately,Saleve the urged but calm UNK s UNK o imagination,0.0
115,Conceal the unhappy truth as long as it is possible,Could the unusual tranquillity a s long as it is poverty,10.0
116,I know it cannot be long He readily assured her of his secrecy again expressed his sorrow for her distress wished it a happier conclusion than there was at present reason to hope and leaving his compliments for her relations with only one serious parting look went away,I know it came be looking Henry regarded as he of his serene again exclaimed his son for her disposition with it a had committed threatened there was at present retired to hold and length his companions followed he retreated with only one self passed love we away,47.91666666666667
117,As he quitted the room Elizabeth felt how improbable it was that they should ever see each other again on such terms of cordiality as had marked their several meetings in Derbyshire and as she threw a retrospective glance over the whole of their acquaintance so full of contradictions and varieties sighed at the perverseness of those feelings which would now have promoted its continuance and would formerly have rejoiced in its termination,As he quitted the room Elizabeth fell how impress it way through the should ever see each other again only superior tears of composure a s UNK UNK the sea me in Delighted and assistance she then a remained gloom overcast the whole of the accustomed so full of comfort and various sickened at the period of the feelings which would not have produced its course and would for have real in its teeth,20.54794520547945
118,If gratitude and esteem are good foundations of affection Elizabeths change of sentiment will be neither improbable nor faulty,If group and UNK s are good fondness of affection Elizabeth s UNK UNK of several will be nearly images not fainted,10.526315789473683
119,But if otherwise if the regard springing from such sources is unreasonable or unnatural in comparison of what is so often described as arising on a first interview with its object and even before two words have been exchanged nothing can be said in her defence except that she had given somewhat of a trial to the latter method in her partiality for Wickham and that its ill success might perhaps authorize her to seek the other less interesting mode of attachment,But UNK UNK if thus region spot from such so UNK UNK undertaking in countenances of who is something of destroyed as arrived only a fight in with it obstinate and even become two would have been excited no can be said in her deathbed expressed that she had given softness of a tried to the last me into her pale for William and that it ill sustained might perhaps audibly he to seek the other least in mockery of attention,4.878048780487805
120,Be that as it may she saw him go with regret and in this early example of what Lydias infamy must produce found additional anguish as she reflected on that wretched business,Besides this as it may she saw his go will return and in the earth expressive of what Lynn s includes much presently found admiration and as she require only the wreck but,31.25
121,Never since reading Janes second letter had she entertained a hope of Wickhams meaning to marry her,Never signal reached UNK s several left had shroud UNK hope of UNK me to make her,29.411764705882355
122,No one but Jane she thought could flatter herself with such an expectation,No one but UNK she the court flesh her with such and expression,46.15384615384615
123,Surprise was the least of all her feelings on this development,Such was the lessons of all her features on the departed,54.54545454545454
124,While the contents of the first letter remained on her mind she was all surprise all astonishment that Wickham should marry a girl whom it was impossible he could marry for money and how Lydia could ever have attached him had appeared incomprehensible,Who the cousin of the first lesson rested on her mine she walked along suffering also as the William she made a girl who it was impossible he consider made for mountains and horror Lyons cottages every have attended him had appeared indulgence,44.18604651162791
125,But now it was all too natural,But now it was allied to names,57.14285714285714
126,For such an attachment as this she might have sufficient charms and though she did not suppose Lydia to be deliberately engaging in an elopement without the intention of marriage she had no difficulty in believing that neither her virtue nor her understanding would preserve her from falling an easy prey,For such and at as the she might had sustained charm and they she did not succeed Lycurgus to be destroyed engaged in an elapsed with the interpretation of man she had no die in beauty the never he UNK UNK not herself understood wonder prison her from fatigue UNK prey,39.21568627450981
127,She had never perceived while the regiment was in Hertfordshire that Lydia had any partiality for him but she was convinced that Lydia had wanted only encouragement to attach herself to anybody,She had never perceived while the result was in Henry them Lynn hatred and partly for him but she was continually the Lynn hand wasted only enhanced to attest UNK UNK to another,46.875
128,Sometimes one officer sometimes another had been her favourite as their attentions raised them in her opinion,Sometimes one of sorrow and had been her father as they a trembled UNK in her opinion,52.94117647058824
129,Her affections had been continually fluctuating but never without an object,He after having been UNK o flung but never with an oblivion,9.090909090909092
130,The mischief of neglect and mistaken indulgence towards such a girloh,The midst of new and miserable inhabited to such a given oh,45.45454545454545
131,how acutely did she now feel it,how accuse did shall not fellow it,42.857142857142854
132,She was wild to be at hometo hear to see to be upon the spot to share with Jane in the cares that must now fall wholly upon her in a family so deranged a father absent a mother incapable of exertion and requiring constant attendance and though almost persuaded that nothing could be done for Lydia her uncles interference seemed of the utmost importance and till he entered the room the misery of her impatience was severe,She was with to become a UNK to her to seek to bestow upon they spoke to shore with UNK in the cause the murderer n UNK which up her innocence UNK so deadly a far absent a month indications of expression and repulsive confessing at and that almost perform that none could be down UNK o Lycurgus her until s in search of these UNK and time he entered the room the mildness of her improved was secret,17.94871794871795
133,Mr,Mr,100.0
134,and Mrs,and Mr,50.0
135,Gardiner had hurried back in alarm supposing by the servants account that their niece was taken suddenly ill but satisfying them instantly on that head she eagerly communicated the cause of their summons reading the two letters aloud and dwelling on the postscript of the last with trembling energy,UNK had hundred babes into always supernatural by the sensation UNK them that night was tale such ill but said the interval on that he should earth committed the cause of the sun reason that two less alone and dwelling on the pocket of the last UNK enemies,38.775510204081634
136,Though Lydia had never been a favourite with them Mr,The Lynn had never beheld a familiarity with that Mr,50.0
137,and Mrs,and Mr,50.0
138,Gardiner could not but be deeply affected,UNK could not but being devoted affection,42.857142857142854
139,Not Lydia only but all were concerned in it and after the first exclamations of surprise and horror Mr,Now Lyons one but also well confused in it and after the first excess of summer and hopes Mr,52.63157894736842
140,Gardiner readily promised every assistance in his power,UNK regular proportion even as in his power,37.5
141,Elizabeth though expecting no less thanked him with tears of gratitude and all three being actuated by one spirit everything relating to their journey was speedily settled,Elizabeth therefore excited no let the himself with tears of gratitude and although the beautiful accustomed by one spirit ever resolved to the journey was spent self,48.148148148148145
142,They were to be off as soon as possible,Those were to being of as soon as possible,66.66666666666666
143,But what is to be done about Pemberley cried Mrs,But where is to bent down about Perth cried Mr,50.0
144,Gardiner,UNK,0.0
145,John told us Mr,John to us Mr,75.0
146,Darcy was here when you sent for uswas it so Yes and I told him we should not be able to keep our engagement,Darkness was he whom you seek for UNK sweet a it so Yet and I took his we shall not being able to keep our entreaties,12.5
147,_That_ is all settled What is all settled repeated the other as she ran into her room to prepare,UNK Time s all seek Who is all several read the other as she rage increased her rose to procure,0.0
148,And are they upon such terms as for her to disclose the real truth,And arrived them up supposed tears as for her to disturb the remembrance tranquillity,42.857142857142854
149,Oh that I knew how it was But wishes were vain or at best could serve only to amuse her in the hurry and confusion of the following hour,Oh that I know how it was But with were various or at be committed senseless one to ameliorate he in the hut and countenances of the for hope,55.172413793103445
150,Had Elizabeth been at leisure to be idle she would have remained certain that all employment was impossible to one so wretched as herself but she had her share of business as well as her aunt and amongst the rest there were notes to be written to all their friends at Lambton with false excuses for their sudden departure,Have Elizabeth be at least to be idea she would have reached cease that although UNK UNK wandered impossible to one so wretched as he but she had he should of but as well as heat augmented and among these related they were not to be wretched to all the fresh at Lausanne with fair exchanged for the sullen degenerating,13.559322033898304
151,An hour however saw the whole completed and Mr,And how hope say the which could and Mr,33.33333333333333
152,Gardiner meanwhile having settled his account at the inn nothing remained to be done but to go and Elizabeth after all the misery of the morning found herself in a shorter space of time than she could have supposed seated in the carriage and on the road to Longbourn,UNK me happy seen him acquired at the instant nothing remained to be down but to good and Elizabeth affection all the middle of the monster followed her in a short space of time that she could had suffered seven in the care and on the room to London,55.10204081632652
153,Illustration The first pleasing earnest of their welcome CHAPTER XLVII,I UNK The fish play each of the were UNK UNK,0.0
154,Illustration I have been thinking it over again Elizabeth said her uncle as they drove from the town and really upon serious consideration I am much more inclined than I was to judge as your eldest sister does of the matter,UNK I had been the UNK UNK again Elizabeth said he unjustly as the drivest from this together and returns upon self concern I am much more in than I was to just as you elapsed silent doubt of the masters,48.78048780487805
155,It appears to me so very unlikely that any young man should form such a design against a girl who is by no means unprotected or friendless and who was actually staying in his Colonels family that I am strongly inclined to hope the best,It appeared to me so very unfortunately them and you may shocks for such a declaration against a girl what is by no means until or friendship and which was a UNK storm in his Cornelius s father that I am still introduction to how the bestowed,37.77777777777778
156,Could he expect that her friends would not step forward,Could he expressed that hear from would not strong footsteps,50.0
157,Could he expect to be noticed again by the regiment after such an affront to Colonel Forster,Could he exultation to be not agitated by the remembrance after summer and afterwards to Constantinople Fort,47.05882352941176
158,His temptation is not adequate to the risk Do you really think so cried Elizabeth brightening up for a moment,His tears is not add to the river Do you replied that some crime Elizabeth breakfast upon for a moment,55.00000000000001
159,Upon my word said Mrs,Upon my words said Mr,60.0
160,Gardiner I begin to be of your uncles opinion,UNK I began to be of your union s opinion,55.55555555555556
161,It is really too great a violation of decency honour and interest for him to be guilty of it,It is reported to grow a view of death horrible and into for him to be guilty of it,63.1578947368421
162,I cannot think so very ill of Wickham,I carefully the source very ill of William,50.0
163,Can you yourself Lizzie so wholly give him up as to believe him capable of it Not perhaps of neglecting his own interest,Can you you Lives soup which girl his up as to become his caves of its Now perceive of new his own infancy,39.130434782608695
164,But of every other neglect I can believe him capable,But of every other new I cannot before his cabin,50.0
165,If indeed it should be so,If in it shall be solitude,50.0
166,But I dare not hope it,But I dared not hope it,83.33333333333334
167,Why should they not go on to Scotland if that had been the case In the first place replied Mr,When shown that no go only to Scotch if that had been the case Ingolstadt the first play remembrance Mr,55.00000000000001
168,Gardiner there is no absolute proof that they are not gone to Scotland Oh but their removing from the chaise into a hackney coach is such a presumption,UNK there is now abhorred properties that thoughts are not going to Scotland Oh but they received from the characters UNK nature had companion is such a produced,50.0
169,And besides no traces of them were to be found on the Barnet road Well thensupposing them to be in Londonthey may be there though for the purpose of concealment for no more exceptionable purpose,And being no trace of the were to be found on the UNK round Well the such thoughts to be in London the may be thrown that for that purpose of consolation for no more extreme purpose,28.57142857142857
170,It is not likely that money should be very abundant on either side and it might strike them that they could be more economically though less expeditiously married in London than in Scotland But why all this secrecy,It is not like the morrow she be very abroad o near UNK sickness and its might stature that than the contrast be more ecstasy the less excellent made in London that in Scotland But which although the senses,15.789473684210526
171,Why any fear of detection,What and feelings of despair,20.0
172,Why must their marriage be private,What must the may be proved,33.33333333333333
173,Oh no nothis is not likely,Oh not not there is no like,16.666666666666664
174,His most particular friend you see by Janes account was persuaded of his never intending to marry her,His most partly from you see by UNK s account was perfectly of his neck in to make her,27.77777777777778
175,Wickham will never marry a woman without some money,With will never making a words with some months,44.44444444444444
176,He cannot afford it,He came a UNK it,25.0
177,And what claims has Lydia what attractions has she beyond youth health and good humour that could make him for her sake forego every chance of benefiting himself by marrying well,And what cliffs had Lynn when UNK a should believe your health and good hunger that court making him for he said for even chimeras of before his by manners weakness,32.25806451612903
178,As to what restraint the apprehensions of disgrace in the corps might throw on a dishonourable elopement with her I am not able to judge for I know nothing of the effects that such a step might produce,As to what remains the appearance of disappeared in the cottage miserable than only a distant elapsed with her I am now about to judge for I knew nothing of the effect the such a strange miserably pride,55.26315789473685
179,But as to your other objection I am afraid it will hardly hold good,But as to your o UNK o UNK I am a UNK it will have hope gone,28.57142857142857
180,Lydia has no brothers to step forward and he might imagine from my fathers behaviour from his indolence and the little attention he has ever seemed to give to what was going forward in his family that _he_ would do as little and think as little about it as any father could do in such a matter But can you think that Lydia is so lost to everything but love of him as to consent to live with him on any other terms than marriage It does seem and it is most shocking indeed replied Elizabeth with tears in her eyes that a sisters sense of decency and virtue in such a point should admit of doubt,Lynn had not brought to stifle forward and he might impulse from my father s beautiful from his into and the lies at her had ever seemed to give to which was good fortune in his father this UNK would do a s lifted and they as like above it as and far contentment do in such a manner But calm you that that Lynn is so long to every but loss of him as to connected to live with him one another other teeth the materials It dog sensibility and it is mountains she in replied Elizabeth with tears in her eyes that as is series of deep and vivid in such a point she admiration of doing,6.837606837606838
181,But really I know not what to say,But receiving I know not which to say,75.0
182,Perhaps I am not doing her justice,Peace I am now doubt her judge,42.857142857142854
183,But she is very young she has never been taught to think on serious subjects and for the last half year nay for a twelvemonth she has been given up to nothing but amusement and vanity,But she is very you shall had never believed taught to those on setting sun and for the land had UNK endeavoured a for UNK she have been girl up to now but a UNK and vain,44.44444444444444
184,She has been allowed to dispose of her time in the most idle and frivolous manner and to adopt any opinions that came in her way,She had been allowed to distraction of her time in the morning ideas and friend mathematics and to admire and opened the case in her wantonly,53.84615384615385
185,Since the shire were first quartered in Meryton nothing but love flirtation and officers have been in her head,Six that she were fixed quickly in Melancholy nothing but UNK UNK of having been in her head,21.052631578947366
